Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Cotrifazid Safety and Efficacy Against Malaria,,,,,,,,,,,,#1634,,Exclusion reason: Less than 28 days follow-up; ,
Correlation Between Malaria-Specific Antibody Profiles and Responses to Artemisinin Combination Therapy for Treatment of Uncomplicated Malaria in Western Kenya,"Odhiambo, G.; Bergmann-Leitner, E.; Maraka, M.; Wanjala, C. N. L.; Duncan, E.; Waitumbi, J.; Andagalu, B.; Jura, Wgzo; Dutta, S.; Angov, E.; et al.,","BACKGROUND: The impact of preexisting immunity on the efficacy of artemisinin combination therapy must be examined to monitor resistance, and for implementation of new treatment strategies. METHODS: Serum samples obtained from a clinical trial in Western Kenya randomized to receive artemether‐lumefantrine (AL) or artesunate‐mefloquine (ASMQ) were screened for total immunoglobulin G against preerythrocytic and erythrocytic antigens. The association and correlation between different variables, and impact of preexisting immunity on parasite slope half‐life (t½) was determined. RESULTS: There was no significant difference in t½, but the number of individuals with lag phase was significantly higher in the AL than in the ASMQ arm (29 vs 13, respectively; P < .01). Circumsporozoite protein‐specific antibodies correlate positively with t½ (AL, P = .03; ASMQ, P = .09), but negatively with clearance rate in both study arms (AL, P = .16; ASMQ, P = .02). The t½ correlated negatively with age in ASMQ group. When stratified based on t½, the antibody titers against circumsporozoite protein and merozoite surface protein 1 were significantly higher in participants who cleared parasites rapidly in the AL group (P = .01 and P = .02, respectively). CONCLUSION: Data presented here define immunoprofiles associated with distinct responses to 2 different antimalarial drugs, revealing impact of preexisting immunity on the efficacy of artemisinin combination therapy regimens in a malaria‐holoendemic area. CLINICAL TRIALS REGISTRATION: NCT01976780.",2019,,Journal of Infectious Diseases,219,12,1969‐1979,CN-01987415,10.1093/infdis/jiz027,,#1655,Odhiambo 2019,Exclusion reason: Secondary analysis; ,
Comparative ophthalmic assessment of patients receiving tafenoquine or chloroquine/primaquine in a randomized clinical trial for Plasmodium vivax malaria radical cure,"Warrasak, S.; Euswas, A.; Fukuda, M. M.; Ittiverakul, M.; Miller, R. S.; Krudsood, S.; Ohrt, C.","PURPOSE: Ophthalmic safety observations are reported from a clinical trial comparing tafenoquine (TQ) efficacy and safety versus sequential chloroquine (CQ)/primaquine (PQ) for acute Plasmodium vivax malaria.METHODS: In an active-control, double-blind study, 70 adult subjects with microscopically confirmed P. vivax malaria were randomized (2:1) to receive 400 mg TQ x 3 days or 1500 mg CQ x 3 days then 15 mg PQ x 14 days.MAIN OUTCOME MEASURES: clinically relevant changes at Day 28 and Day 90 versus baseline in the ocular examination, color vision evaluation, and corneal and retinal digital photography.RESULTS: Post-baseline keratopathy occurred in 14/44 (31.8%) patients with TQ and 0/24 with CQ/PQ (P = 0.002). Mild post-baseline retinal findings were reported in 10/44 (22.7%) patients receiving TQ and 2/24 (8.3%) receiving CQ/PQ (P = 0.15; treatment difference 14.4%, 95% CI - 5.7, 30.8). Masked evaluation of retinal photographs identified a retinal hemorrhage in one TQ patient (Day 90) and a slight increase in atrophy from baseline in one TQ and one CQ/PQ patient. Visual field sensitivity (Humphrey TM 10-2 test) was decreased in 7/44 (15.9%) patients receiving TQ and 3/24 (12.5%) receiving CQ/PQ; all cases were < 5 dB. There were no clinically relevant changes in visual acuity or macular function tests.CONCLUSIONS: There was no evidence of clinically relevant ocular toxicity with either treatment. Mild keratopathy was observed with TQ, without conclusive evidence of early retinal changes. Eye safety monitoring continues in therapeutic studies of low-dose tafenoquine (300 mg single dose).CLINICAL TRIAL REGISTRATION: Clinicaltrials.gov identifier: NCT01290601.",2019,Aug,International Ophthalmology,39,8,1767-1782,30269312,https://dx.doi.org/10.1007/s10792-018-1003-2,,#1801,Warrasak 2019,Exclusion reason: Not assessing efficacy of antimalarial drug; ,
"Comparative Efficacy, Safety And Tolerability Of Three Treatment Regiments For Uncomplicated Falciparum Malaria","Pactr,","INTERVENTION: Experimental comparison of combination therapies (2 arms) versus Monotherapy Experimental comparison of combination therapies versus Monotherapy CONDITION: ; Malaria Malaria PRIMARY OUTCOME: Evaluation of Treatment Efficacy Tolerance and safety: SECONDARY OUTCOME: Efficacy, tolerance and safety INCLUSION CRITERIA: The following criteria needed to be met for intry into the study: ‐ Adults or children aged 6 months or older and weighing more than 5Kg ‐ Residents of Bougoula‐Hameau during the entire follow up period ‐ Oral treatment possible ‐ Axiliary temperature >= 37.5oC . ‐ Infection with Plasmodium specie with parasite density between 2000 and 200000 trophozoites/mm3. ‐ Informed consent or informed assent obtained from the patient or parent/guardian",2018,,http://www.who.int/trialsearch/Trial2.aspx?TrialID=PACTR201802003020160,,,,CN-01904166,,,#1803,Pactr 2018,Exclusion reason: Terminated; ,
"Cohort event monitoring study of 8572 malaria cases to evaluate, in real-life setting, the safety and tolerability of the fixed-dose combination therapy pyronaridine-artesunate for the treatment of uncomplicated malaria","Ramharter, M.; Lutete, G. T.; Mombo-Ngoma, G.; Assi, S. B.; Bigoga, J. D.; Koukouikila-Koussounda, F.; Nsengi, P. M. N.; Ntoumi, F.; Groger, M.; Egger-Adam, D.; Karnahl, M.; Liz, J.; Miller, R. M.; Arbe-Barnes, S.; Shin, J.; Kremsner, P. G.; Borghini-Fuhrer, I.; Duparc, S.","Pyronaridine-artesunate (PyramaxTM, PA) has received a positive opinion under article 58 by EMA and is approved in African and Asian countries for the treatment of uncomplicated vivax and falciparum malaria. PA is highly efficacious and is well tolerated apart from, in a small number of patients, asymptomatic, transient rises in liver transaminases. This large clinical Phase IIIb/IV study has evaluated the safety of PA in a real-life setting including hitherto underrepresented patient populations such as children <1 year. The study was conducted in Cameroon, Democratic Republic of Congo, Gabon, Ivory Coast and the Republic of Congo. Patients above 5kg bodyweight presenting with uncomplicated malaria at local health facilities were included. The primary objective was to evaluate any hepatic safety events in a subgroup of patients enrolled with asymptomatic transaminases >2xULN from blood taken immediately prior to treatment. PA was given according to the label information as a once daily dose for 3 days; the first dose under supervision by the health care provider and patients were seen again on D7 and D28 at home by a community health worker. Further liver function testing was performed if there were any hepatic signs or symptoms. Between June 2017 and March 2019, 8,572 uncomplicated malaria episodes including 142 with elevated baseline liver enzymes and 147 in children <1 year of age, were treated with PA. No episode of clinically apparent drug induced liver injury was detected. 9 mostly mild (0.1%) hypersensitivity reactions occurred. 33 (0.4%) serious adverse events occurred in the course of this study of which only 3 (0.03%) events were judged as related to PA. D28 crude and PCR corrected cure rate will be presented. PA has confirmed its very good safety and efficacy profile for the treatment of uncomplicated malaria in Africa in this unselected patient population. This includes patients with raised liver enzymes at baseline, children below one year of age and patients with comorbidities.",2019,November,American Journal of Tropical Medicine and Hygiene,101 (5 Supplement),,487-488,630644852,http://dx.doi.org/10.4269/ajtmh.abstract2019,,#1861,Ramharter 2019,Exclusion reason: Conference abstract; ,
Cardiac Safety of Dihydroartemisinin-Piperaquine Amongst Pregnant Women in Tanzania,,,,,,,,,,,,#1944,,Exclusion reason: Healthy volunteer; ,
Data from: Impact of treatment and re-treatment with Artemether-Lumefantrine and Artesunate-Amodiaquine on selection of Plasmodium falciparum Multidrug Resistance Gene-1 polymorphisms in the Democratic Republic of Congo and Uganda,"Baraka, Vito; Mavoko, Hypolite Muhindo; Nabasumba, Carolyn; Francis, Filbert; Lutumba, Pascal; Alifrangis, Michael; Van Geertruyden, Jean-Pierre","Background The emergence of resistance against artemisinin combination treatment is a major concern for malaria control. ACTs are recommended as the rescue treatment, however, there is limited evidence as to whether treatment and re-treatment with ACTs select for drug-resistant P. falciparum parasites. Thus, the present study wanted to investigate the impact of treatment and re-treatment using artesunate-amodiaquine (ASAQ) and artemether-lumefantrine (AL) on the selection of P. falciparum multidrug resistance-1 (pfmdr1) alleles in clinical settings. Methods P. falciparum positive samples were collected from children aged 12-59 months in a clinical trial in DR Congo and Uganda. Pfmdr1 single nucleotide polymorphisms (SNPs) analysis at codons N86Y, Y184F, and D1246Y were performed at baseline and post-treatment with either AL or ASAQ as a rescue treatment using nested PCR followed by restriction fragment length polymorphism (RFLP) assays. Results The pre-treatment prevalence of Pfmdr1 N86 and D1246Y varied significantly between the sites, (p>0.001) and (p=0.013), respectively. There was borderline significant directional selection for Pfmdr1 184F in recurrent infections after treatment with AL in Uganda site (p=0.05). Pfmdr1 NFD haplotype did not significantly change in post-treatment infections after re-treatment with either AL or ASAQ. Comparison between pre-treatment and post-treatment recurrences did not indicate directional selection of Pfmdr1 N86, D1246 alleles in either in the pre-RCT, RCT and post-RCT phases in both AL and ASAQ treatment arms. Pfmdr1 86Y was significantly associated with reduced risk of AL treatment failure (RR=0.34, 95% CI:0.11-1.05, p=0.04) while no evidence for D1246 allele (RR=1.02; 95% CI: 0.42-2.47, p=1.0). Survival estimates showed that the Pfmdr1 alleles had comparable mean-time to PCR-corrected recrudescence and new infections in both AL and ASAQ treatment arms. Conclusion. We found limited impact of treatment and re-treatment with AL or ASAQ on selection for Pfmdr1 variants and haplotypes associated with resistance to partner drugs. These findings further supplement the evidence use of same or alternative ACTs as a rescue therapy for recurrent P.falciparum infections. Continued monitoring of genetic signatures of resistance is warranted to maintain the efficacy of artemisinin-based combination therapies. Raw data _Pfmdr1 SNPs_revised 16112017Data on the Pfmdr1 single nucleotide polymorphisms (SNPs) analysis at codons N86Y, Y184F, and D1246Y and impact of AL or ASAQ treatment as a rescue treatment Copyright: CC0 1.0 Universal (CC0 1.0) Public Domain Dedication",2019,06-07-2020,Dryad,,,,DRCI:DATA2018182013966100,http://dx.doi.org/10.5061/DRYAD.61M9P,,#1959,Baraka 2019,Exclusion reason: Figure/Table/Supplementary data; ,
"Biannual mass azithromycin distributions and malaria parasitemia in pre-school children in Niger: A cluster-randomized, placebo-controlled trial","Arzika, A. M.; Maliki, R.; Boubacar, N.; Kane, S.; Cotter, S. Y.; Lebas, E.; Cook, C.; Bailey, R. L.; West, S. K.; Rosenthal, P. J.; Porco, T. C.; Lietman, T. M.; Keenan, J. D.; Mordor Study Group","BACKGROUND: Mass azithromycin distributions have been shown to reduce mortality in preschool children, although the factors mediating this mortality reduction are not clear. This study was performed to determine whether mass distribution of azithromycin, which has modest antimalarial activity, reduces the community burden of malaria.METHODS AND FINDINGS: In a cluster-randomized trial conducted from 23 November 2014 until 31 July 2017, 30 rural communities in Niger were randomized to 2 years of biannual mass distributions of either azithromycin (20 mg/kg oral suspension) or placebo to children aged 1 to 59 months. Participants , field staff, and investigators were masked to treatment allocation. The primary malaria outcome was the community prevalence of parasitemia on thick blood smear, assessed in a random sample of children from each community at study visits 12 and 24 months after randomization. Analyses were performed in an intention-to-treat fashion. At the baseline visit, a total of 1,695 children were enumerated in the 15 azithromycin communities, and 3,029 children were enumerated in the 15 placebo communities. No communities were lost to follow-up. The mean prevalence of malaria parasitemia at baseline was 8.9% (95% CI 5.1%-15.7%; 52 of 552 children across all communities) in the azithromycin-treated group and 6.7% (95% CI 4.0%-12.6%; 36 of 542 children across all communities) in the placebo-treated group. In the prespecified primary analysis, parasitemia was lower in the azithromycin-treated group at month 12 (mean prevalence 8.8%, 95% CI 5.1%-14.3%; 51 of 551 children across all communities) and month 24 (mean 3.5%, 95% CI 1.9%-5.5%; 21 of 567 children across all communities) than it was in the placebo-treated group at month 12 (mean 15.3%, 95% CI 10.8%-20.6%; 81 of 548 children across all communities) and month 24 (mean 4.8%, 95% CI 3.3%-6.4%; 28 of 592 children across all communities) (P = 0.02). Communities treated with azithromycin had approximately half the odds of parasitemia compared to those treated with placebo (odds ratio [OR] 0.54, 95% CI 0.30 to 0.97). Parasite density was lower in the azithromycin group than the placebo group at 12 and 24 months (square root-transformed outcome; density estimates were 7,540 parasites/mul lower [95% CI -350 to -12,550 parasites/mul; P = 0.02] at a mean parasite density of 17,000, as was observed in the placebo arm). No significant difference in hemoglobin was observed between the 2 treatment groups at 12 and 24 months (mean 0.34 g/dL higher in the azithromycin arm, 95% CI -0.06 to 0.75 g/dL; P = 0.10). No serious adverse events were reported in either group, and among children aged 1 to 5 months, the most commonly reported nonserious adverse events (i.e., diarrhea, vomiting, and rash) were less common in the azithromycin-treated communities. Limitations of the trial include the timing of the treatments and monitoring visits, both of which took place before the peak malaria season, as well as the uncertain generalizability to areas with different malaria transmission dynamics.CONCLUSIONS: Mass azithromycin distributions were associated with a reduced prevalence of malaria parasitemia in this trial, suggesting one possible mechanism for the mortality benefit observed with this intervention.TRIAL REGISTRATION: The trial was registered on ClinicalTrials.gov (NCT02048007).",2019,06,PLoS Medicine / Public Library of Science,16,6,e1002835,31237871,https://dx.doi.org/10.1371/journal.pmed.1002835,,#2111,Arzika 2019,Exclusion reason: Mass drug administration; ,
"Azithromycin Plus Chloroquine Versus Sulfadoxine-Pyrimethamine Plus Chloroquine For The Treatment Of Uncomplicated, Symptomatic Falciparum Malaria In Southeast Asia",,,,,,,,,,,,#2154,,Exclusion reason: Terminated; ,
Antimalarial Treatments for Clearing Low Density P. Falciparum and Its Impact on Malaria Transmission,,,,,,,,,,,,#2182,,Exclusion reason: Healthy volunteer; ,
"Antimalarial activity of single-dose DSM265, a novel Plasmodium dihydroorotate dehydrogenase inhibitor, in patients with uncomplicated Plasmodium falciparum or Plasmodium vivax malaria infection: a proof-of-concept, open-label, phase 2a study (vol 18, pg 874, 2018)","Llanos-Cuentas, A.; Casapia, M.; Chuquiyauri, R.",,2018,Aug,Lancet Infectious Diseases,18,8,829-829,WOS:000439864200017,10.1016/s1473-3099(18)30412-2,,#2246,Llanos-Cuentas 2018,Exclusion reason: Correction; ,
Chlorproguanil-Dapsone in Pregnant Women,,,,,,,,,,,,#2317,,Exclusion reason: Terminated; ,
Chloroquine (CQ) and Azithromycin (AZ) Combination for Malaria Prophylaxis,,,,,,,,,,,,#2366,,Exclusion reason: Prevention or prophylaxis studies; ,Ongoing study
"Adherence to radical cure for plasmodium vivax malaria in papua, Indonesia","Rahmalia, A.; Poespoprodjo, J. R.; Landuwulang, C. U.; Ronse, M.; Kenangalem, E.; Burdam, F. H.; Ley, B.; Price, R. N.; Thriemer, K.; Grietens, K. P.; Gryseels, C.","Adherence to radical cure for Plasmodium vivax is critical for achieving the timely elimination of malaria in endemic areas. The only widely available drug for killing the dormant liver stages of P. vivax is primaquine (PQ) which is usually administered as a 14-day regimen. The prolonged treatment course results in poor adherence and effectiveness. To develop suitable strategies to improve patient adherence, a mixed methods study was undertaken to explore people's perceptions and understanding of malaria and malaria treatment in southern Papua, Indonesia. For the qualitative strand, qualitative interviews (n=46) and observations (n=12) were done with purposively selected informants. The quantitative component consisted of a structured questionnaire with all trial participants (n=619). Results showed that the socially accepted and commonly known malaria medication dihydroartemisinin-piperaquine-""the blue pills""-evoked confidence in the relation between the type of malaria it targeted, its perceived side effects and efficacy, and optimal adherence to the 3-day regimen. The different colour and size of the PQ tablets-""the brown pills""-and the long treatment duration, however, prompted a re-interpretation of the perceived side effects and treatment effectiveness which aligned more to perceptions of vitamin supplements. Although 84% of trial participants reported that they had finished ""all drugs"", only 60% reported to have taken both ""the blue"" and ""the brown"" pills needed for radical cure. In conclusion, patients continually evaluate the characteristics of their medicines, in relation to the illness and the perceived benefits and risks of the treatment. These (re-)interpretations underpin patients' decisions to adhere to or to abandon PQ treatment. Even with partial supervision patients' adherence to a 14-day PQ regimen is suboptimal.",2019,November,American Journal of Tropical Medicine and Hygiene,101 (5 Supplement),,319,630645043,http://dx.doi.org/10.4269/ajtmh.abstract2019,,#2558,Rahmalia 2019,Exclusion reason: Conference abstract; ,
Atovaquone-proguanil treatment failure in a case of pediatric Plasmodium falciparum infection: Malabsorption and resistance,"L'Huillier, A. G.; Lau, R.; Bitnun, A.; Boggild, A. K.",,2020,Sep - Oct,Travel Medicine & Infectious Disease,37,,101829,32763494,https://dx.doi.org/10.1016/j.tmaid.2020.101829,,#2664,L'Huillier 2020,Exclusion reason: Case report; ,
Association of Pfmdr1 alleles and haplotypes and risk of RCR-adjusted treatment failure following treatment with Artemether-Lumefantrine and Artesunate-Amodiaquine,"Baraka, Vito; Mavoko, Hypolite Muhindo; Nabasumba, Carolyn; Francis, Filbert; Lutumba, Pascal; Alifrangis, Michael; Van Geertruyden, Jean-Pierre",Association of Pfmdr1 alleles and haplotypes and risk of RCR-adjusted treatment failure following treatment with Artemether-Lumefantrine and Artesunate-Amodiaquine. Copyright: CC BY 4.0,2018,15-06-2018,Figshare,,,,DRCI:DATA2018154013608791,http://dx.doi.org/10.1371/journal.pone.0191922.t004,,#2686,Baraka 2018,Exclusion reason: Figure/Table/Supplementary data; ,
Association of Nutritional Status with Anemia on Malaria Patient with Dihydroartemisinin Pippperaquine Treatment in Southwest Sumba 2015,"Meliahsari, Renni; Taslim, Nurpudji A.; Faculty, Citrakesumasari; Acm,","This study was conducted to understand relationship between nutritional status with anemia in malaria patients with Dihydroartemisinin Pipperaquine (DHA-P) in Southest Sumba. The study was designed as longitudinal study by examined 44 patients suffered from P. falciparum and P. vivax. The univariate analysis was based on age, gender, infection types, nutritional status and anemia. Meanwhile, bivariate analysis was used to observe the relationship between dependent variable and independent variable. The DHA-P efficacy was 100% successful on 42 days for malaria patients. There was a significant chance in nutritional status with weight/height and body mass index/age indicators, where body weight had increased after treatment. In additions, there was significant recovery in anemia status between pre and post treatment. Besides, DHA-P efficacy had improved nutritional status and anemia status after treatment. There was significant relationship between nutritional status and anemia status after treatment.",2018,,International Conference on Healthcare Service Management,,,125-131,WOS:000473815200023,10.1145/3242789.3242822,,#2687,Meliahsari 2018,Exclusion reason: Secondary analysis; ,
"Assessment of parasite clearance after treatment with pyronaridine-artesunate, artesunateamodiaquine, artemether-lumefantrine and dihydroartemisinin-piperaquine in plasmodium falciparum malaria: Results from the West African network (WANECAM) trial","Soulama, I.; Sagara, I.; Beavogui, H.; Ouedraogo, J. B.; Sirima, S. B.; Djimde, A.","Reports from the Greater Mekong Subregion (GMS) showed the emergence of delayed parasite clearance with known artemisinin based combination therapies. We conducted the WANECAM to comparatively assess the antimalarial safety/efficacy and monitor the parasite clearance time in patients treated for uncomplicated P. falciparum with threeday regimens of pyronaridine-artesunate (PA), artesunate-amodiaquine (ASAQ), artemether-lumefantrine (AL) and dihydroartemisinin-piperaquine (DP). A randomized phase IIIb/IV comparative, multicentre, open-label parallel 3 arms trial was conducted in Burkina Faso, Guinea and Mali in patients aged more than six months with 42 days of follow-up. We monitored patients over a 2-year period to capture the incidence of repeated episodes of malaria and to assess PA and DP safety and efficacy, compared with AL or ASAQ (no direct comparison between PA and DP). Treatment was directly observed, and blood smear samples were collected twice daily (12 h +/-2 h) until parasite clearance. The endpoint of interest for this present sub-study was parasite clearance slope half-life for the first episode of malaria. The estimates of parasite clearance time (PCE) was derived using the WorldWide Antimalarial Resistance Network (WWARN) PCE tool. PCE estimates were summarized from well-fitting profiles (with R-squared >0.8). A total of 4,710 patients were recruited in the study with the PCR-adjusted efficacy on day 28 in the per protocol population estimated at 99.8%, 99.7%, 99.3%, and 99.9% in PA, ASAQ, AL, and DP arms respectively. Parasite clearance slope half-life was available from 4,205 (89.3%) participants for the first episode with the profile adjudged as good fitting for 2,136 (50.1%) participants. The day 2 parasite positive proportion was 1.3% (58/ 4632) and day 3 positive proportion was 0.06% (3/ 4627). The overall median parasite clearance slope-half-life was 2.8 h (inter-quartile range (IQR): 2.4 to 3.2h) and this was similar between the study drugs. The four ACTs included in this trial demonstrated excellent efficacy and had comparable parasite clearance slope half-life.",2019,November,American Journal of Tropical Medicine and Hygiene,101 (5 Supplement),,474-475,630645124,http://dx.doi.org/10.4269/ajtmh.abstract2019,,#2707,Soulama 2019,Exclusion reason: Conference abstract; ,
Assessment of molecular markers of anti-malarial drug resistance among children participating in a therapeutic efficacy study in western Kenya,"Chebore, W.; Zhou, Z.; Westercamp, N.; Otieno, K.; Shi, Y. P.; Sergent, S. B.; Rondini, K. A.; Svigel, S. S.; Guyah, B.; Udhayakumar, V.; Halsey, E. S.; Samuels, A. M.; Kariuki, S.","BACKGROUND: Anti-malarial drug resistance remains a major threat to global malaria control efforts. In Africa, Plasmodium falciparum remains susceptible to artemisinin-based combination therapy (ACT), but the emergence of resistant parasites in multiple countries in Southeast Asia and concerns over emergence and/or spread of resistant parasites in Africa warrants continuous monitoring. The World Health Organization recommends that surveillance for molecular markers of resistance be included within therapeutic efficacy studies (TES). The current study assessed molecular markers associated with resistance to Artemether-lumefantrine (AL) and Dihydroartemisinin-piperaquine (DP) from samples collected from children aged 6-59 months enrolled in a TES conducted in Siaya County, western Kenya from 2016 to 2017.METHODS: Three hundred and twenty-three samples collected pre-treatment (day-0) and 110 samples collected at the day of recurrent parasitaemia (up to day 42) were tested for the presence of drug resistance markers in the Pfk13 propeller domain, and the Pfmdr1 and Pfcrt genes by Sanger sequencing. Additionally, the Pfpm2 gene copy number was assessed by real-time polymerase chain reaction.RESULTS: No mutations previously associated with artemisinin resistance were detected in the Pfk13 propeller region. However, other non-synonymous mutations in the Pfk13 propeller region were detected. The most common mutation found on day-0 and at day of recurrence in the Pfmdr1 multidrug resistance marker was at codon 184F. Very few mutations were found in the Pfcrt marker (< 5%). Within the DP arm, all recrudescent cases (8 sample pairs) that were tested for Pfpm2 gene copy number had a single gene copy. None of the associations between observed mutations and treatment outcomes were statistically significant.CONCLUSION: The results indicate absence of Pfk13 mutations associated with parasite resistance to artemisinin in this area and a very high proportion of wild-type parasites for Pfcrt. Although the frequency of Pfmdr1 184F mutations was high in these samples, the association with treatment failure did not reach statistical significance. As the spread of artemisinin-resistant parasites remains a possibility, continued monitoring for molecular markers of ACT resistance is needed to complement clinical data to inform treatment policy in Kenya and other malaria-endemic regions.",2020,Aug-14,Malaria Journal,19,1,291,32795367,https://dx.doi.org/10.1186/s12936-020-03358-7,,#2709,Chebore 2020,Exclusion reason: Not assessing efficacy of antimalarial drug; ,
Assessment of drug resistance associated genetic diversity in Mauritanian isolates of Plasmodium vivax reveals limited polymorphism,"Mint Deida, J.; Ould Khalef, Y.; Mint Semane, E.; Ould Ahmedou Salem, M. S.; Bogreau, H.; Basco, L.; Ould Mohamed Salem Boukhary, A.; Tahar, R.","BACKGROUND: Plasmodium vivax is the predominant malaria species in northern Mauritania. Molecular data on P. vivax isolates circulating in West Africa are scarce. The present study analysed molecular markers associated with resistance to antifolates (Pvdhfr and Pvdhps), chloroquine (Pvmdr1), and artemisinin (Pvk12) in P. vivax isolates collected in two cities located in the Saharan zone of Mauritania.METHODS: Blood samples were obtained from P. vivax-infected patients recruited for chloroquine therapeutic efficacy study in 2013 and febrile patients spontaneously consulting health facilities in Nouakchott and Atar in 2015-2016. Fragments of Pvdhfr (codons 13, 33, 57, 58, 61, 117, and 174), Pvdhps (codons 382, 383, 512, 553, and 585), Pvmdr1 (codons 976 and 1076) and Pvk12 (codon 552) genes were amplified by PCR and sequenced.RESULTS: Most of the isolates in Nouakchott (126/154, 81.8%) and Atar (44/45, 97.8%) carried the wild-type Pvdhfr allelic variant (IPFSTSI). In Nouakchott, all mutants (28/154; 18.2%) had double Pvdhfr mutations in positions 58 and 61 (allelic variant IPFRMSI), whereas in Atar only 1 isolate was mutant (S117N, allelic variant IPFSTNI). The wild-type Pvdhps allelic variant (SAKAV) was found in all tested isolates (Nouakchott, n = 93; Atar, n = 37). Few isolates in Nouakchott (5/115, 4.3%) and Atar (3/79, 3.8%) had the mutant Pvmdr1 allele 976F or 1076L, but not both, including in pre-treatment isolates obtained from patients treated successfully with chloroquine. All isolates (59 in Nouakchott and 48 in Atar) carried the wild-type V552 allele in Pvk12.CONCLUSIONS: Polymorphisms in Pvdhfr, Pvdhps, Pvmdr1, and Pvk12 were limited in P. vivax isolates collected recently in Nouakchott and Atar. Compared to the isolates collected in Nouakchott in 2007-2009, there was no evidence for selection of mutants. The presence of one, but not both, of the two potential markers of chloroquine resistance in Pvmdr1 in pre-treatment isolates did not influence the clinical outcome, putting into question the role of Pvmdr1 mutant alleles 976F and 1076L in treatment failure. Molecular surveillance is an important component of P. vivax malaria control programme in the Saharan zone of Mauritania to predict possible emergence of drug-resistant parasites.",2018,Nov-08,Malaria Journal,17,1,416,30409138,https://dx.doi.org/10.1186/s12936-018-2548-2,,#2716,MintDeida 2018,Exclusion reason: Not assessing efficacy of antimalarial drug; ,
"Assessment of artemisinin combination repeated treatment effect on blood cell lines parameters during a two-year follow up involving 3ACT, artesunate-pyronaridine (PYR), dihydroarteminininpiperaquine (DHA-PQ) compared to artesunateamodiaquine (ASAQ) in the treatment of the uncomplicated acute plasmodium falciparum malaria cases in banfora health district","Soulama, I.; Ouattara, M.; Henry, N.; Coulibaly, A. S.; Kabore, M. T.; Diarra, A.; Ouattara, D.; Bougouma, E. C.; Ouedraogo, A.; Sombie, B.; Ouedraogo, I. N.; Tiono, A. B.; Sirima, S. B.","Artemisinin combination therapies (ACTs) still remains in Sub Saharan Africa, the most effective anti-malarial drugs for the malaria treatment in areas with multidrug resistant Plasmodium falciparum malaria. The use of these drugs to treat malaria may be associated with possible side effects on the blood cells. It was therefore the aim of this study to undertake a comparative effect of a repeatedly administration of artesunateamodiaquine, dihydroartemisinine-piperaquine, and artesunatepyronaridine on haematological parameters (RBC count, Hb, WBC count, Platelets count) in P. falciparum uncomplicated malaria patients living in Burkina Faso. Confirmed malaria infected patients (n=763) aged from 6months to 54 years of both sexes were included in the study carried out in Banfora Health District area in Burkina Faso. About 2ml of blood sample was collected into EDTA tube from the same patient before the ACT administration and after at day 3, 7 and 28 of the follow up for blood cell lines analysis at each malaria episode. The findings of this present study show that Artesunate-Amodiaquine, Dihydroartemisinine-Piperaquine and Pyronaridine-Artesunate have effects on the hematological parameters in P. falciparum malaria infected patients. The three ACTs significantly reduced the proportion of abnormal blood levels of white blood cells, neutrophils, eosinophils and lymphocytes without significant effects on the proportion on the abnormal level of basophils cell. The proportion of abnormal blood level of RBC, hb and platelets were significantly increased at the day 3 after treatment before decreasing at day 28. However a repeatedly treatment of these three ACTs had no significantly effect on the blood cell level.",2018,October,American Journal of Tropical Medicine and Hygiene,99 (4 Supplement),,306,627540289,,,#2721,Soulama 2018,Exclusion reason: Conference abstract; ,
"Assessment of adverse drug reactions in the home management of malaria cases of children under 5 years using artemisinin-based combination therapy in Mfou health district, Center region of Cameroon","Bahina, L. E.; Youmba, C. J.; Mabvouna, R. B.; Sobngwi, J.","Malaria remains one of the major public health concerns in Cameroon. Its treatment is frequently initiated at home, most often with street drugs. The home management of malaria cases entails the prescription of Artemisinin-based combination (ACTs) as first-line therapy for treatment of uncomplicated malaria after having confirmed the malaria case using rapid diagnostic tests. But induced adverse reactions of this therapy are not well known in Cameroon. Thus, a prospective, observational, cohort study of adverse events associated with ACTs was conducted from January 2013 to November 2013 in the health district of Mfou. Children under 5 years receiving ACTs for malaria treatment at home were enrolled. Suspected ADRs and other clinical events were recorded. Data were managed and analysed using Epi Info version 3.5.3 and Statistical Package for Social Sciences, statistical software version 20. Of the 479 children investigated, 56.8% (n=272/479) were males, the age group 25-59 months (49.5%; n=237/479) was most represented, 27.1% (n=130/479) had experienced one form of ADRs, male children (56.2%; n=73/130) and the age group 25-59 months (50.8%; n=66/130) were most affected. No significant association was found between age, sex and incidence of adverse ACTs reactions. The main experienced ACTs reactions were tiredness (43.1%; n=56/130) followed by lack of appetite (24.6%; n=32/130). The incidence ACTs ARDs was found to be relatively low and tolerable. Home management of malaria cases using ACTs should be encouraged and community members should be trained to improve the recognizing and reporting of adverse effects.",2018,Dec-21,Journal of Public Health in Africa,9,3,763,30687483,https://dx.doi.org/10.4081/jphia.2018.763,,#2724,Bahina 2018,Exclusion reason: Not assessing efficacy of antimalarial drug; ,
"Artesunate Plus Sulfadoxine-pyrimethamine Pharmacokinetics, Efficacy, Gametocytes Carriage and Birth Outcomes in Pregnant Women With Malaria",,,,,,,,,,,,#2752,,Exclusion reason: Terminated; ,
